epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0613,1.81845,2.51097,1.06375,0.3904,0.2905,0.30022,0.100052,1.66781,1.6346,1.01129,0.00332394,0.00332394,0.00332394
2,127.087,1.74954,1.63969,1.02562,0.3914,0.29154,0.30134,0.10117,1.65815,1.46535,0.99727,0.00663531,0.00663531,0.00663531
3,187.114,1.74216,1.55258,1.01696,0.39281,0.29308,0.30268,0.10234,1.66437,1.42537,1.00005,0.00992467,0.00992467,0.00992467
4,245.845,1.71731,1.494,1.01147,0.39421,0.29462,0.30401,0.10351,1.63659,1.35605,0.98288,0.009901,0.009901,0.009901
5,304.608,1.6753,1.41909,0.99781,0.39562,0.29615,0.30535,0.10468,1.62581,1.36104,0.9859,0.009868,0.009868,0.009868
6,362.938,1.65163,1.37786,0.99028,0.39702,0.29769,0.30669,0.10585,1.57394,1.26247,0.97257,0.009835,0.009835,0.009835
7,445.161,1.62311,1.33142,0.98358,0.39843,0.29923,0.30803,0.10702,1.55785,1.25905,0.9642,0.009802,0.009802,0.009802
8,504.57,1.6061,1.3059,0.97725,0.39983,0.30077,0.30936,0.10819,1.54478,1.23078,0.9568,0.009769,0.009769,0.009769
9,563.266,1.59159,1.27868,0.97427,0.40124,0.30231,0.3107,0.10936,1.57404,1.22962,0.97123,0.009736,0.009736,0.009736
10,621.134,1.57638,1.25688,0.97129,0.40264,0.30385,0.31204,0.11054,1.51322,1.20972,0.95788,0.009703,0.009703,0.009703
11,679.441,1.56065,1.23261,0.96647,0.40405,0.30538,0.31338,0.11171,1.4942,1.20118,0.95199,0.00967,0.00967,0.00967
12,738.232,1.54615,1.20389,0.962,0.40545,0.30692,0.31472,0.11288,1.51279,1.20191,0.96074,0.009637,0.009637,0.009637
13,796.811,1.53656,1.19768,0.96115,0.40686,0.30846,0.31605,0.11405,1.48814,1.15967,0.951,0.009604,0.009604,0.009604
14,855.528,1.53639,1.18119,0.9607,0.40826,0.31,0.31739,0.11522,1.47861,1.14554,0.94215,0.009571,0.009571,0.009571
15,914.015,1.52887,1.17925,0.95767,0.40967,0.31154,0.31873,0.11639,1.47489,1.13938,0.94419,0.009538,0.009538,0.009538
16,972.113,1.51457,1.15768,0.95534,0.41107,0.31308,0.32007,0.11756,1.4592,1.13133,0.94409,0.009505,0.009505,0.009505
17,1029.96,1.50976,1.15108,0.95082,0.41247,0.31462,0.3214,0.11873,1.46303,1.13782,0.94149,0.009472,0.009472,0.009472
18,1088.27,1.49693,1.13985,0.94917,0.41388,0.31615,0.32274,0.1199,1.45503,1.12671,0.93886,0.009439,0.009439,0.009439
